Day,ID,Age,Sex,EtOH_Pref
7,M15,3 wk,M,0.362068966
7,M16,18 wk,M,0.790697674
7,M17,18 wk,M,0.872340426
7,M18,18 wk,M,0.842105263
8,M10,6 wk,M,0.421052632
8,M11,6 wk,M,0.523809524
8,M12,6 wk,M,0.681818182
8,M13,3 wk,M,0.275
8,M14,3 wk,M,0.404761905
8,M15,3 wk,M,0.8
8,M16,18 wk,M,0.390243902
8,M17,18 wk,M,0.076923077
8,M18,18 wk,M,0.404761905
9,M10,6 wk,M,0.425
9,M11,6 wk,M,0.722222222
9,M12,6 wk,M,0.789473684
9,M13,3 wk,M,0.9
9,M14,3 wk,M,0.763157895
9,M15,3 wk,M,0.243902439
9,M16,18 wk,M,0.833333333
9,M17,18 wk,M,0.967741935
9,M18,18 wk,M,0.090909091
10,M10,6 wk,M,0.294117647
10,M11,6 wk,M,0.416666667
10,M12,6 wk,M,0.882352941
10,M13,3 wk,M,0.21875
10,M14,3 wk,M,0.666666667
10,M15,3 wk,M,1
10,M16,18 wk,M,0.558823529
10,M17,18 wk,M,0.074074074
10,M18,18 wk,M,0
11,M10,6 wk,M,0.536585366
11,M11,6 wk,M,0.266666667
11,M12,6 wk,M,0.88372093
11,M13,3 wk,M,0.588235294
11,M14,3 wk,M,1
11,M15,3 wk,M,0.619047619
11,M16,18 wk,M,0.588235294
11,M17,18 wk,M,0.205882353
11,M18,18 wk,M,1
12,M10,6 wk,M,0.297297297
12,M11,6 wk,M,0.162162162
12,M12,6 wk,M,0.769230769
12,M13,3 wk,M,0.375
12,M14,3 wk,M,0.642857143
12,M15,3 wk,M,0.457142857
12,M16,18 wk,M,0.236842105
12,M17,18 wk,M,0
12,M18,18 wk,M,0.03030303
13,M10,6 wk,M,0.447368421
13,M11,6 wk,M,0.305555556
13,M12,6 wk,M,0.96969697
13,M13,3 wk,M,0.566666667
13,M14,3 wk,M,0.942857143
13,M15,3 wk,M,0.277777778
13,M16,18 wk,M,0.459459459
13,M17,18 wk,M,0.035714286
13,M18,18 wk,M,0.967741935
14,M10,6 wk,M,0.5
14,M11,6 wk,M,0.2
14,M12,6 wk,M,0.945945946
14,M13,3 wk,M,0.428571429
14,M14,3 wk,M,1
14,M15,3 wk,M,0.382352941
14,M16,18 wk,M,0.34375
14,M17,18 wk,M,0.066666667
14,M18,18 wk,M,0.96969697
