ID,Age,Sex,Day,R_side_pref
F2,3 wk,F,11,0.12195122
F3,3 wk,F,11,0.418604651
F4,3 wk,F,11,0.212121212
F5,3 wk,F,11,0.764705882
F6,3 wk,F,11,0
F7,6 wk,F,11,0.441176471
F8,6 wk,F,11,0
F9,6 wk,F,11,0.727272727
F10,6 wk,F,11,0.181818182
F11,6 wk,F,11,0.8
F12,6 wk,F,11,0.324324324
F13,18 wk,F,11,0.976190476
F14,18 wk,F,11,0.055555556
F15,18 wk,F,11,0
F16,18 wk,F,11,0.727272727
F17,18 wk,F,11,0.454545455
F18,18 wk,F,11,0.068181818
F1,3 wk,F,12,0.56
F2,3 wk,F,12,0.191489362
F3,3 wk,F,12,0.56
F4,3 wk,F,12,0.2
F5,3 wk,F,12,0.469387755
F6,3 wk,F,12,0.977777778
F7,6 wk,F,12,0.428571429
F8,6 wk,F,12,0.170731707
F9,6 wk,F,12,0.71875
F10,6 wk,F,12,0
F11,6 wk,F,12,0.648648649
F12,6 wk,F,12,0.479166667
F13,18 wk,F,12,0.76
F14,18 wk,F,12,0.157894737
F15,18 wk,F,12,0.125
F16,18 wk,F,12,0.793103448
F17,18 wk,F,12,0.684210526
F18,18 wk,F,12,0.142857143
F1,3 wk,F,13,0.603448276
F2,3 wk,F,13,0.326530612
F3,3 wk,F,13,0.431372549
F4,3 wk,F,13,0.142857143
F5,3 wk,F,13,0.657142857
F6,3 wk,F,13,0.052631579
F7,6 wk,F,13,0.45
F8,6 wk,F,13,0.175
F9,6 wk,F,13,0.828571429
F10,6 wk,F,13,0.151515152
F11,6 wk,F,13,0.477272727
F12,6 wk,F,13,0.288461538
F13,18 wk,F,13,0.553191489
F14,18 wk,F,13,0.119047619
F15,18 wk,F,13,0.11627907
F16,18 wk,F,13,0.694444444
F17,18 wk,F,13,0.324324324
F18,18 wk,F,13,0.25
F1,3 wk,F,14,0.589285714
F2,3 wk,F,14,0.311111111
F3,3 wk,F,14,0.659090909
F4,3 wk,F,14,0.225
F5,3 wk,F,14,0.463414634
F6,3 wk,F,14,1
F7,6 wk,F,14,0.324324324
F8,6 wk,F,14,0.142857143
F9,6 wk,F,14,0.764705882
F10,6 wk,F,14,0.222222222
F11,6 wk,F,14,0.325581395
F12,6 wk,F,14,0.25
F13,18 wk,F,14,0.448979592
F14,18 wk,F,14,0.026315789
F15,18 wk,F,14,0.105263158
F16,18 wk,F,14,0.552631579
F17,18 wk,F,14,0.6
F18,18 wk,F,14,0.365853659
M1,6 wk,M,1,0.605263158
M2,6 wk,M,1,0.230769231
M3,6 wk,M,1,0.714285714
M4,3 wk,M,1,0.135135135
M5,3 wk,M,1,0.138888889
M6,3 wk,M,1,0.553191489
M7,18 wk,M,1,0.03030303
M8,18 wk,M,1,0
M9,18 wk,M,1,0.41025641
M1,6 wk,M,2,0.763157895
M2,6 wk,M,2,0.088888889
M3,6 wk,M,2,0.555555556
M4,3 wk,M,2,0.060606061
M5,3 wk,M,2,0.076923077
M6,3 wk,M,2,0.58974359
M7,18 wk,M,2,1
M8,18 wk,M,2,0
M9,18 wk,M,2,0.35
M1,6 wk,M,3,0.595238095
M2,6 wk,M,3,0.279069767
M3,6 wk,M,3,0.243243243
M4,3 wk,M,3,0.081081081
M5,3 wk,M,3,0.12
M6,3 wk,M,3,0.704545455
M7,18 wk,M,3,0.088235294
M8,18 wk,M,3,0.166666667
M9,18 wk,M,3,0.069767442
M1,6 wk,M,4,0.673913043
M2,6 wk,M,4,0.553191489
M3,6 wk,M,4,0.279069767
M4,3 wk,M,4,0.106382979
M5,3 wk,M,4,0.215686275
M6,3 wk,M,4,0.62
M7,18 wk,M,4,0.868421053
M8,18 wk,M,4,0.069767442
M9,18 wk,M,4,0.152173913
M1,6 wk,M,5,0.538461538
M2,6 wk,M,5,0.243243243
M3,6 wk,M,5,0.138888889
M4,3 wk,M,5,0
M5,3 wk,M,5,0.064516129
M6,3 wk,M,5,0.736842105
M7,18 wk,M,5,0
M8,18 wk,M,5,0
M9,18 wk,M,5,0
M1,6 wk,M,6,0.722222222
M2,6 wk,M,6,0.405405405
M3,6 wk,M,6,0.078947368
M4,3 wk,M,6,0.055555556
M5,3 wk,M,6,0.093023256
M6,3 wk,M,6,0.632653061
M7,18 wk,M,6,1
M8,18 wk,M,6,0
M9,18 wk,M,6,0.023255814
M1,6 wk,M,7,0.62
M2,6 wk,M,7,0.211538462
M3,6 wk,M,7,0.226415094
M4,3 wk,M,7,0.098039216
M5,3 wk,M,7,0.192982456
M6,3 wk,M,7,0.637931034
M7,18 wk,M,7,0.209302326
M8,18 wk,M,7,0.127659574
M9,18 wk,M,7,0.157894737
M1,6 wk,M,8,0.659574468
M2,6 wk,M,8,0.203703704
M3,6 wk,M,8,0.25
M4,3 wk,M,8,0.217391304
M5,3 wk,M,8,0.145833333
M6,3 wk,M,8,0.529411765
M7,18 wk,M,8,0.782608696
M8,18 wk,M,8,0.090909091
M9,18 wk,M,8,0.897959184
M1,6 wk,M,9,0.575
M2,6 wk,M,9,0.277777778
M3,6 wk,M,9,0.210526316
M4,3 wk,M,9,0.1
M5,3 wk,M,9,0.236842105
M6,3 wk,M,9,0.756097561
M7,18 wk,M,9,0.166666667
M8,18 wk,M,9,0.032258065
M9,18 wk,M,9,0.909090909
M1,6 wk,M,10,0.666666667
M2,6 wk,M,10,0.225
M3,6 wk,M,10,0.25
M4,3 wk,M,10,0
M5,3 wk,M,10,0.46875
M6,3 wk,M,10,0.567567568
M7,18 wk,M,10,1
M8,18 wk,M,10,0.03030303
M9,18 wk,M,10,0.657894737
M1,6 wk,M,11,0.575
M2,6 wk,M,11,0.222222222
M3,6 wk,M,11,0.256410256
M4,3 wk,M,11,0
M5,3 wk,M,11,0.358974359
M6,3 wk,M,11,0.756756757
M7,18 wk,M,11,0
M8,18 wk,M,11,0
M9,18 wk,M,11,0.433333333
M1,6 wk,M,12,0.677419355
M2,6 wk,M,12,0.189189189
M3,6 wk,M,12,0.142857143
M4,3 wk,M,12,0
M5,3 wk,M,12,0.184210526
M6,3 wk,M,12,0.527777778
M7,18 wk,M,12,1
M8,18 wk,M,12,0
M9,18 wk,M,12,0.361111111
M1,6 wk,M,13,0.547619048
M2,6 wk,M,13,0.520833333
M3,6 wk,M,13,0.19047619
M4,3 wk,M,13,0.058823529
M5,3 wk,M,13,0.466666667
M6,3 wk,M,13,0.627906977
M7,18 wk,M,13,0.151515152
M8,18 wk,M,13,0.028571429
M9,18 wk,M,13,0.567567568
M1,6 wk,M,14,0.571428571
M2,6 wk,M,14,0.558139535
M3,6 wk,M,14,0
M4,3 wk,M,14,0
M5,3 wk,M,14,0.361111111
M6,3 wk,M,14,0.578947368
M7,18 wk,M,14,1
M8,18 wk,M,14,0
M9,18 wk,M,14,0.411764706
M19,18 wk,M,1,0.424242424
